UserID,Condition,Trial,Melody,PitchAcc(%),FingerAcc(%),TimingAcc(%),MeanTimingErr(ms),StdTimingErr(ms),ErrorRate(%),ErrorRate(P+F)%
23,Dynamic,2,A,100.0,100.0,42.14,432.07,440.15,11.57,0.0
23,Dynamic,R1,A,100.0,100.0,22.26,751.24,631.23,15.55,0.0
23,Static,1,B,100.0,93.33,38.26,480.33,413.15,13.01,0.67
23,Static,R1,B,100.0,100.0,54.6,302.58,297.89,9.08,0.0
24,Dynamic,1,B,100.0,100.0,36.91,498.38,593.94,12.62,0.0
24,Dynamic,R2,B,100.0,100.0,38.94,471.56,518.17,12.21,0.0
24,Static,1,A,100.0,100.0,74.82,145.07,120.67,5.04,0.0
24,Static,R2,A,100.0,100.0,87.76,65.29,52.47,2.45,0.0
25,Dynamic,1,B,100.0,100.0,80.84,106.35,120.8,3.83,0.0
25,Dynamic,R1,B,100.0,100.0,82.79,94.42,85.51,3.44,0.0
25,Static,2,A,100.0,100.0,85.2,80.06,59.53,2.96,0.0
25,Static,R2,A,100.0,100.0,81.35,103.22,91.64,3.73,0.0
26,Dynamic,2,A,100.0,100.0,30.84,588.1,516.35,13.83,0.0
26,Dynamic,R2,A,100.0,57.14,12.99,1020.48,1515.42,21.69,4.29
26,Static,2,B,100.0,100.0,36.76,500.4,378.38,12.65,0.0
26,Static,R1,B,100.0,100.0,59.89,256.36,327.21,8.02,0.0
27,Dynamic,2,A,100.0,100.0,52.81,319.27,218.87,9.44,0.0
27,Dynamic,R1,A,100.0,100.0,24.32,706.84,756.06,15.14,0.0
27,Static,2,B,100.0,100.0,40.89,447.1,378.86,11.82,0.0
27,Static,R1,B,100.0,100.0,16.72,894.15,1409.75,16.66,0.0
28,Dynamic,2,B,86.67,86.67,27.03,654.18,1272.15,25.26,10.67
28,Dynamic,R1,B,100.0,100.0,53.12,316.34,241.59,9.38,0.0
28,Static,1,A,71.43,71.43,49.42,352.39,320.51,32.97,22.86
28,Static,R1,A,85.71,64.29,20.34,796.17,1706.67,29.5,13.57
29,Dynamic,1,B,100.0,86.67,49.82,348.42,631.36,11.37,1.33
29,Dynamic,R1,B,100.0,93.33,67.64,195.48,95.02,7.14,0.67
29,Static,2,A,100.0,85.71,77.16,129.62,92.93,6.0,1.43
29,Static,R2,A,100.0,78.57,86.89,70.28,99.09,4.77,2.14
30,Dynamic,2,A,100.0,100.0,84.92,81.75,80.48,3.02,0.0
30,Dynamic,R2,A,100.0,100.0,82.73,94.78,82.57,3.45,0.0
30,Static,2,B,100.0,100.0,76.2,135.93,109.5,4.76,0.0
30,Static,R2,B,100.0,100.0,70.0,178.34,141.41,6.0,0.0
31,Dynamic,2,A,100.0,100.0,78.43,121.49,94.03,4.31,0.0
31,Dynamic,R1,A,100.0,100.0,84.38,84.9,113.24,3.12,0.0
31,Static,2,B,100.0,100.0,77.09,130.12,111.4,4.58,0.0
31,Static,R2,B,100.0,100.0,74.05,150.24,110.66,5.19,0.0
