,RTLX,RTLX,RTLX,Mental,Mental,Mental,Physical,Physical,Physical,Temporal,Temporal,Temporal,Performance,Performance,Performance,Effort,Effort,Effort,Frustration,Frustration,Frustration
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
Condition,,,,,,,,,,,,,,,,,,,,,
Dynamic,28.07777777777778,15.335877683286682,30,29.9,25.498275803777737,30,31.133333333333333,26.250429662602944,30,20.866666666666667,18.702264906788113,30,29.366666666666667,16.093441228485368,30,34.06666666666667,24.048705368170186,30,23.133333333333333,22.4756317594969,30
Static,32.62222222222222,16.77150551352781,30,34.06666666666667,26.67936479279682,30,31.0,26.356965970543992,30,21.6,18.98202416443806,30,37.93333333333333,20.76790184699544,30,42.266666666666666,28.796471686809056,30,28.866666666666667,26.31340727269752,30
