user,melody,chunkIndex,condition,slope,intercept,n_points
26,B,1,Static,-0.009411254,0.558525013,10
26,B,2,Static,0.017045862,0.347943477,10
27,A,0,Dynamic,-0.027681061,0.7195037,10
27,A,1,Dynamic,0.039579308,0.384168146,10
27,A,2,Dynamic,-0.004043058,0.625979061,10
27,B,0,Static,0.010231375,0.515873269,10
27,B,1,Static,0.013815996,0.530606625,8
27,B,2,Static,-0.009213739,0.695663056,10
28,A,0,Static,-0.007726561,0.815534157,10
28,A,1,Static,-0.051311358,1.061558462,9
28,A,2,Static,-0.013876294,0.711568031,10
28,B,0,Dynamic,-0.022719029,0.690204662,10
28,B,1,Dynamic,-0.039326606,1.023524548,9
28,B,2,Dynamic,-0.023208138,0.575744442,10
29,B,0,Dynamic,-0.022719029,0.690204662,10
29,B,1,Dynamic,-0.039326606,1.023524548,9
29,B,2,Dynamic,-0.023208138,0.575744442,10
29,A,0,Static,-0.018019185,0.645088358,10
29,A,1,Static,-0.008072009,0.75736724,10
29,A,2,Static,-0.037386363,0.673865791,10
3,A,0,Dynamic,-0.024888179,0.573538429,10
3,A,1,Dynamic,0.029615482,0.119416617,10
3,A,2,Dynamic,-0.026371103,0.592969955,10
3,B,0,Static,-0.014260727,0.329792972,10
3,B,1,Static,-0.046488379,0.555324181,10
3,B,2,Static,0.008282856,0.18579768,10
30,A,0,Dynamic,-0.092408,1.022371546,10
30,A,1,Dynamic,-0.069853967,0.949978475,10
30,A,2,Dynamic,-0.018937866,0.705164386,10
30,B,0,Static,0.018755073,0.528088321,10
30,B,1,Static,-0.024871594,0.773864903,10
30,B,2,Static,-0.026310403,0.530998113,10
31,A,0,Dynamic,-0.008854414,0.480984526,10
31,A,1,Dynamic,-0.037540875,0.494255604,10
31,A,2,Dynamic,0.019939589,0.537983281,10
31,B,0,Static,-0.005419872,0.353817933,10
31,B,1,Static,-0.04624443,0.665813912,10
31,B,2,Static,-0.009988746,0.494906523,10
4,A,0,Static,-0.000481755,0.751809199,10
4,A,1,Static,-0.011805275,0.736509719,10
4,A,2,Static,-0.011484179,0.868190623,10
4,B,0,Dynamic,0.018445619,0.435956162,10
4,B,1,Dynamic,-0.023657261,0.748614728,10
4,B,2,Dynamic,-0.023600305,0.623427319,10
5,A,0,Dynamic,-0.032113126,0.857182676,10
5,A,1,Dynamic,-0.01545696,0.816012686,10
5,A,2,Dynamic,0.009761112,0.665843915,10
5,B,0,Static,-0.025562911,0.344860753,10
5,B,1,Static,-0.01076882,0.393436195,10
5,B,2,Static,-0.029278152,0.525663095,10
6,A,0,Dynamic,0.028262203,0.128332481,10
6,A,1,Dynamic,-0.076643389,0.870760667,9
6,A,2,Dynamic,-0.050781545,0.777777166,10
6,B,0,Static,0.034865306,0.185918838,10
6,B,1,Static,-0.030917396,0.696161884,10
6,B,2,Static,0.014230606,0.341283979,10
7,A,0,Dynamic,-0.026000015,0.573139591,10
7,A,1,Dynamic,-0.015860976,0.566957167,10
7,A,2,Dynamic,0.010055448,0.5290431,10
7,B,0,Static,0.007534544,0.539213982,10
7,B,1,Static,-0.021068185,0.623248939,10
7,B,2,Static,-0.002985783,0.509890756,10
8,A,0,Static,-0.003597848,0.196816981,10
