user,cond,test,trial,melody,clip,time_mode,compare_start_ref,compare_seconds,event_radius,anchor,n_timepoints,n_joints,joints_used,vel_cos_fw,vel_cos_fw_center,vel_rmse,vel_rmse_norm,dir_cos_fw,dir_mae_deg_fw,dtw_mean
User30,Static,Immediate,T2,Melody_B,User30_Static_Immediate_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,-0.0017357095860224341,0.0071525571064214085,0.05852738750436987,0.14942335499191778,0.9704309163297936,13.9679461847244,0.2964458116561874
User30,Static,Retention,T2,Melody_B,User30_Static_Retention_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.036369646291500995,-0.0586154832872004,0.10123088265981925,0.25844751937191734,0.969456390940424,14.19742094366136,0.318685848377438
User31,Dynamic,Immediate,T2,Melody_C,User31_Dynamic_Immediate_T2_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,-0.15997548082222976,-0.1426467170161862,0.052854012230999614,0.14927539577452897,0.9893329440909862,8.376193986908351,0.178492990016199
User31,Dynamic,Retention,T1,Melody_C,User31_Dynamic_Retention_T1_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,-0.09340664281785166,-0.4883813318908283,0.060216692502328646,0.1700697870623741,0.9865494429783022,9.407966493051187,0.21244672953347574
User31,Static,Immediate,T2,Melody_B,User31_Static_Immediate_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.06644037276630883,0.15971862288215366,0.045644096222744894,0.11653166635307675,0.9499789717241434,18.1987304922971,0.37382168135288085
User31,Static,Retention,T2,Melody_B,User31_Static_Retention_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.11535754444769718,0.015280161236442744,0.21839403512620195,0.5575709224394019,0.9599696108540758,16.266422015359414,0.37566577844447724
User3,Dynamic,Immediate,T1,Melody_C,User3_Dynamic_Immediate_T1_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.3270694942209493,0.4963351018720079,0.03964210453738867,0.11196105261207011,0.9806165423505973,11.299449151629014,0.23733058815381844
User3,Dynamic,Retention,T2,Melody_C,User3_Dynamic_Retention_T2_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.042829329580993815,-0.13762175080413772,0.04579805840027974,0.1293472908646476,0.9935071941092635,6.532645668197077,0.1552887186735514
User3,Static,Immediate,T2,Melody_B,User3_Static_Immediate_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.06483800242700559,-0.03017810469975282,0.03413510304033512,0.08714862967189263,0.963436032332453,15.54162921365319,0.2928644021116828
User3,Static,Retention,T2,Melody_B,User3_Static_Retention_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.3569208004114953,0.4087361993643832,0.039013930190431735,0.0996045200213237,0.9835658901955103,10.401771108137659,0.20811607282186284
User4,Dynamic,Immediate,T2,Melody_B,User4_Dynamic_Immediate_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.03782777177839416,0.02284386144646397,0.13609133663815395,0.34744800635923073,0.9720931383035059,13.567765247650463,0.30376388830182055
User4,Dynamic,Retention,T1,Melody_B,User4_Dynamic_Retention_T1_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.11439136811485116,-0.03570618474899343,0.10502881105156947,0.26814382099262446,0.9813335045795939,11.087838999426843,0.2159839295391796
User5,Dynamic,Immediate,T2,Melody_B,User5_Dynamic_Immediate_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,-0.08302738597741831,-0.11340089623724443,0.034108411666952825,0.08708048525728286,0.9804492043859944,11.348277963431348,0.23524799924657425
User5,Dynamic,Retention,T2,Melody_B,User5_Dynamic_Retention_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.22889979527015533,0.2454760455834498,0.02915767680897429,0.074441010924017,0.9824309357580497,10.755976615012546,0.23865995992460184
User5,Static,Immediate,T2,Melody_C,User5_Static_Immediate_T2_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.4508496317737652,0.19209668352630285,0.025637963183837934,0.07240920678630246,0.9985248581173702,3.1124897417686643,0.06861634063670477
User5,Static,Retention,T2,Melody_C,User5_Static_Retention_T2_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.22664260679147813,0.3393906877480025,0.021681891872075205,0.061236088874370716,0.9756353543718034,12.673700248756111,0.2466566286929596
User6,Dynamic,Immediate,T2,Melody_C,User6_Dynamic_Immediate_T2_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.04218422780624812,0.043176901682498305,0.017674925946830945,0.049919229489472965,0.9722362576061556,13.53276656966614,0.26599252831919573
User6,Dynamic,Retention,T2,Melody_C,User6_Dynamic_Retention_T2_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.1461202394390909,0.0032648504690883343,0.023075459205065162,0.06517193605776621,0.9359555085679063,20.616933684826133,0.4021931354900519
User6,Static,Immediate,T2,Melody_B,User6_Static_Immediate_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.29283025910242716,0.19451646526120728,0.033156328819874195,0.08464977000914158,0.9877459940151396,8.978859198791085,0.2086354563036864
User6,Static,Retention,T2,Melody_B,User6_Static_Retention_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.1263983619710208,-0.038035215722948004,0.03597890663370175,0.09185595269816688,0.9688984968181591,14.327169360448151,0.262035452484455
User7,Dynamic,Immediate,T2,Melody_C,User7_Dynamic_Immediate_T2_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,-0.4348400110130372,-0.4503131648950928,0.038360620890715194,0.10834176297896306,0.9839850076722984,10.267916042413928,0.24951394280024064
User7,Dynamic,Retention,T2,Melody_C,User7_Dynamic_Retention_T2_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.15829818781969712,0.09812067104014463,0.04812985054505408,0.1359329629940186,0.9810179875660138,11.18145041584376,0.24689179477941506
User7,Static,Immediate,T2,Melody_B,User7_Static_Immediate_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.4105117200405402,0.547600221268557,0.04186044530995994,0.10687181585207246,0.9794121093142167,11.646394208721947,0.25090568134074304
User7,Static,Retention,T1,Melody_B,User7_Static_Retention_T1_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.2952203291671717,0.27906774626162045,0.04231515244043612,0.10803270595620405,0.9131027360028583,24.062288843625254,0.5011111331802767
User8,Dynamic,Immediate,T2,Melody_B,User8_Dynamic_Immediate_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,-0.0035653403552758788,-0.0624922482029857,0.05588743438612286,0.14268342230791764,0.9331091060985351,21.075225962176976,0.4461117110619917
User8,Dynamic,Retention,T2,Melody_B,User8_Dynamic_Retention_T2_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.1519403425511176,0.2599007271539618,0.08451770659163356,0.21577794283405335,0.9331177314641882,21.07385159751239,0.4120619511795706
User8,Static,Immediate,T1,Melody_C,User8_Static_Immediate_T1_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,-0.36437524708889174,-0.08361737895020677,0.02387182565969636,0.0674211109581895,0.9704459661420368,13.964373385456451,0.254946081481659
User8,Static,Retention,T2,Melody_C,User8_Static_Retention_T2_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.14562296186411805,0.24101573644526933,0.021760630692556373,0.061458470640560495,0.9817864915278294,10.952060074014849,0.20853216735846344
User9,Dynamic,Immediate,T1,Melody_B,User9_Dynamic_Immediate_T1_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.142230729157789,0.05897719593697453,0.06671499569665269,0.17032672925168402,0.988960812353241,8.521313054416776,0.16026917400940854
User9,Dynamic,Retention,T1,Melody_B,User9_Dynamic_Retention_T1_Melody_B,linear,1.36181640625,4.0,0.25,Wrist,75,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,-0.10214554522019635,-0.23805646221974097,0.10354330767842185,0.26435125639453855,0.9781685377884568,11.994228851856136,0.23763742570596857
User9,Static,Immediate,T2,Melody_C,User9_Static_Immediate_T2_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,-0.33116864002264923,-0.2691558352713998,0.028358574541394035,0.08009301961347078,0.9914376415938267,7.503168529265596,0.1394258983165079
User9,Static,Retention,T1,Melody_C,User9_Static_Retention_T1_Melody_C,linear,1.6795501708984375,4.0,0.25,Wrist,83,5,XRHand_IndexTip|XRHand_LittleTip|XRHand_MiddleTip|XRHand_RingTip|XRHand_ThumbTip,0.08232617304590233,0.3962658852522873,0.05629151734684947,0.15898392905300154,0.9924332265405915,7.052891901484467,0.1419530760430666
