contrast,n_pairs,mean_diff,ci95_lo,ci95_hi,dz,p
Immediate (Dyn−Stat),30,0.14403333333333332,0.06833249999999998,0.2165016666666665,0.688630862977507,0.0007406796072459493
Retention (Dyn−Stat),30,0.19746666666666665,0.12239916666666666,0.27319999999999994,0.9246142090004508,2.121314848072675e-05
